sales,discount,age,gender,cust_state,tenure,profit,month
1102.92,0,34,M,RS,21,55.15,4
2154.24,0,34,M,SP,19,107.71,8
2393.79,25,33,W,RS,20,94.69,7
2153.49,25,35,W,PB,19,82.67,9
1670.63,25,24,nan,PB,23,58.53,7
2231.3,0,28,W,SP,26,111.57,2
1277.11,0,27,M,RJ,21,63.86,3
2062.74,0,36,O,BA,29,103.14,4
1593.6,25,24,W,RJ,12,54.68,7
2656.94,25,34,W,SP,24,107.85,6
1938.96,25,24,nan,MG,10,71.95,6
2660.92,25,20,W,SP,20,108.05,9
1400.15,25,23,W,SC,15,45.01,8
1543.73,0,43,M,RJ,24,77.19,8
771.98,0,33,M,SC,15,38.6,4
1844.06,0,55,M,BA,20,92.2,3
2947.35,0,33,M,SP,18,147.37,7
2350.02,25,20,W,SP,19,92.5,8
2861.12,25,35,W,SP,18,118.06,9
1858.83,0,38,W,CE,21,92.94,4
1389.95,0,27,nan,BA,19,69.5,4
1634.63,0,28,W,CE,22,81.73,4
717.17,0,41,W,PA,17,35.86,3
958.86,0,34,O,PA,24,47.94,12
1233.67,25,26,W,PI,14,36.68,7
2560.25,0,36,M,CE,27,128.01,9
2278.91,25,24,W,GO,14,88.95,11
2108.98,0,44,O,SP,19,105.45,5
1853.92,0,40,M,PR,23,92.7,8
2299.06,0,26,O,SP,16,114.95,9
924.44,0,20,W,AL,9,46.22,2
1356.71,25,31,W,PI,21,42.84,10
2718.84,25,24,W,SP,28,110.94,8
1058.78,0,27,W,RJ,20,52.94,4
2630.89,0,33,M,GO,18,131.54,9
1236.9,0,48,O,RS,17,61.85,3
2144.37,0,37,O,MG,21,107.22,6
642.44,0,29,W,RS,25,32.12,2
1800.35,25,20,W,AM,27,65.02,7
1473.21,25,27,W,RJ,27,48.66,6
2045.11,25,29,W,AM,17,77.26,6
1246.7,25,37,W,SC,24,37.34,5
2361.41,25,28,W,PR,13,93.07,7
1490.55,0,28,W,CE,15,74.53,0
2117.01,0,29,M,PE,22,105.85,5
1881.66,25,26,nan,BA,26,69.08,5
1385.37,0,33,M,RN,20,69.27,4
1698.2,0,38,M,TO,18,84.91,3
2440.47,25,37,W,SP,22,97.02,6
1679.42,25,40,W,RJ,16,58.97,6
1785.71,0,41,nan,BA,21,89.29,7
1894.59,0,43,M,RS,23,94.73,8
1199.87,0,26,W,RN,15,59.99,3
1496.49,0,31,M,BA,24,74.82,5
2202.83,0,30,M,SP,21,110.14,9
1933.75,0,29,O,PE,16,96.69,4
984.51,25,42,W,PA,19,24.23,5
2346.4,0,33,M,SP,19,117.32,8
706.69,25,23,W,PA,20,10.33,5
1998.74,0,46,M,PR,19,99.94,5
2115.83,0,32,M,ES,29,105.79,8
1593.12,0,30,W,MG,23,79.66,3
2315.2,0,27,M,SP,27,115.76,4
1907.48,0,37,M,ES,16,95.37,5
711.59,0,32,M,PA,16,35.58,4
329.64,0,30,W,SE,22,16.48,3
1632.08,0,26,M,MA,24,81.6,7
2566.58,25,28,W,SP,19,103.33,5
2600.73,25,27,W,SP,28,105.04,8
2379.59,25,47,W,BA,24,93.98,7
2398.19,0,26,nan,PR,22,119.91,8
2376.15,25,27,W,PR,16,93.81,9
2519.89,0,31,M,MG,32,125.99,9
2382.93,25,40,W,BA,27,94.15,7
1476.58,0,32,W,MA,17,73.83,2
1611.81,0,47,O,BA,24,80.59,4
1547.48,0,28,M,MA,30,77.37,9
2122.12,0,34,W,SP,21,106.11,4
2128.74,0,35,nan,SP,18,106.44,3
1270.27,0,22,W,AM,30,63.51,2
2673.41,25,38,W,MG,20,108.67,9
3131.58,25,36,W,SP,12,131.58,7
2373.43,25,27,W,PE,19,93.67,7
963.96,0,30,M,RJ,25,48.2,4
1165.83,25,34,W,AL,24,33.29,8
2189.78,0,42,M,PR,14,109.49,7
685.91,0,19,M,SE,24,34.3,6
2263.32,0,32,O,MG,17,113.17,8
1189.54,0,27,O,BA,20,59.48,0
1769.8,0,26,M,PR,22,88.49,3
2281.76,25,31,nan,SP,20,89.09,6
1595.25,0,30,nan,MG,19,79.76,4
2433.33,25,27,W,SP,20,96.67,6
2396.83,25,28,W,SP,19,94.84,6
2711.93,25,33,nan,GO,26,110.6,6
1988.16,0,29,M,PB,12,99.41,8
1020.94,0,27,M,RS,24,51.05,4
917.88,0,29,M,PA,22,45.89,5
3284.5,0,29,O,GO,12,164.23,3
2783.33,25,28,W,SP,21,114.17,8
2443.09,0,35,M,RN,13,122.15,8
2090.74,0,35,M,SP,23,104.54,4
1592.59,0,29,M,AM,20,79.63,4
1642.62,25,40,W,MT,18,57.13,5
1736.51,0,28,M,PR,20,86.83,6
2105.22,25,40,W,BA,22,80.26,7
995.88,0,35,O,TO,15,49.79,5
2137.44,25,20,W,MA,20,81.87,5
2299.93,25,26,O,MG,21,90.0,11
2421.08,0,24,M,GO,22,121.05,4
1670.57,0,34,M,BA,22,83.53,6
1980.77,25,33,W,MA,23,74.04,11
2259.13,25,30,W,MG,22,87.96,5
1184.47,0,25,M,RJ,15,59.22,8
1290.44,25,35,W,MS,19,39.52,8
2070.38,0,41,M,MG,23,103.52,7
394.43,0,28,M,AL,12,19.72,8
2008.94,0,41,O,MG,21,100.45,3
1974.89,0,20,M,PE,15,98.74,3
1642.96,25,28,W,DF,17,57.15,5
1273.17,0,23,M,RJ,19,63.66,7
2160.74,25,23,W,MG,21,83.04,9
1844.55,0,39,O,RJ,19,92.23,9
986.99,0,23,W,AM,24,49.35,2
2086.12,0,29,O,SP,24,104.31,4
1837.21,25,35,W,AL,15,66.86,5
1904.07,0,24,M,CE,29,95.2,8
7126.32,0,28,W,SP,25,356.32,4
1948.57,0,52,M,BA,25,97.43,5
914.08,0,22,O,RS,21,45.7,4
2631.81,25,34,W,SP,18,106.59,5
4477.44,0,32,O,SP,18,223.87,4
2105.17,25,43,W,RS,24,80.26,8
2235.72,0,26,nan,SP,20,111.79,7
637.29,0,38,M,PA,27,31.86,7
2535.37,25,30,W,SP,15,101.77,5
1550.57,0,22,M,MG,26,77.53,4
2051.72,0,30,O,SP,24,102.59,7
2052.47,25,28,W,CE,17,77.62,6
2365.05,25,27,W,SP,20,93.25,12
2284.32,0,36,M,SP,27,114.22,2
2580.97,0,44,M,SP,22,129.05,4
1748.84,0,30,nan,CE,22,87.44,5
1164.72,0,30,W,RJ,21,58.24,3
882.5,0,22,nan,AL,17,44.12,1
1395.13,0,32,M,RO,19,69.76,8
859.98,0,29,nan,AL,18,43.0,6
1395.33,0,31,O,BA,18,69.77,6
1416.67,0,29,M,MA,16,70.83,8
2271.19,0,35,nan,SP,21,113.56,6
2295.91,25,33,W,MG,12,89.8,6
2225.04,0,36,M,PE,25,111.25,5
1799.57,0,32,M,RJ,22,89.98,10
1661.08,25,28,W,MA,9,58.05,8
1413.47,0,22,M,RJ,29,70.67,9
3193.82,25,27,W,RN,17,134.69,8
2087.93,0,33,O,MG,21,104.4,8
1137.78,25,32,W,PA,20,31.89,6
1789.72,0,25,M,PR,21,89.49,5
2443.89,0,38,M,SP,16,122.19,8
1657.9,25,31,W,RJ,25,57.9,9
2325.81,0,35,M,SP,27,116.29,10
1052.64,0,26,M,PI,21,52.63,6
2398.81,25,32,W,PR,18,94.94,9
1018.94,25,28,W,AC,18,25.95,6
2125.08,0,25,M,PR,15,106.25,12
2483.49,0,37,M,SP,31,124.17,3
2768.87,0,59,O,GO,25,138.44,8
1694.55,0,29,M,BA,27,84.73,8
365.89,0,27,W,PA,14,18.29,4
2144.47,25,26,W,MG,18,82.22,5
3407.04,25,35,W,SP,19,145.35,6
1722.82,25,28,W,AM,21,61.14,5
1878.25,0,26,M,SP,20,93.91,5
1572.49,25,26,W,RS,19,53.62,7
2784.08,25,36,W,SP,18,114.2,7
1759.29,25,26,W,RJ,16,62.96,9
2754.62,25,36,W,SP,21,112.73,6
2553.82,0,29,M,MG,22,127.69,5
1677.82,0,23,nan,MG,16,83.89,5
2228.84,25,19,W,MG,21,86.44,6
1515.9,0,27,M,SC,23,75.8,4
2356.34,25,23,M,MG,24,92.82,12
1740.08,0,36,O,MA,20,87.0,4
2638.86,25,33,W,SP,33,106.94,10
2044.09,0,27,M,SP,15,102.2,5
2243.83,0,37,M,MG,23,112.19,4
1394.84,0,34,W,RJ,16,69.74,2
1260.11,25,35,W,MT,17,38.01,11
2286.35,0,30,O,GO,18,114.32,8
1852.29,0,36,M,MG,24,92.61,5
2074.01,25,33,W,MG,20,78.7,5
2628.12,25,40,W,SP,14,106.41,9
2031.17,0,23,nan,SP,20,101.56,4
1005.6,0,26,W,RS,13,50.28,4
2077.61,0,24,M,SP,20,103.88,11
826.29,0,34,W,PA,24,41.31,4
1299.72,0,34,O,MA,21,64.99,5
2056.44,0,30,O,CE,23,102.82,8
1925.55,0,30,M,MG,21,96.28,3
1675.82,0,26,M,CE,17,83.79,4
2082.93,25,26,W,BA,17,79.15,8
1457.16,0,32,O,RJ,18,72.86,3
2333.18,25,27,W,MG,30,91.66,7
371.35,0,22,W,PI,28,18.57,1
2693.82,25,31,W,GO,21,109.69,11
1353.51,25,33,W,RS,25,42.68,5
2066.59,0,24,W,GO,22,103.33,3
597.08,0,25,W,MS,14,29.85,3
1212.35,0,40,O,SC,22,60.62,7
844.08,0,41,nan,PI,16,42.2,7
1769.31,0,31,W,MG,16,88.47,4
2324.85,0,31,nan,PE,23,116.24,3
2010.07,25,31,W,RS,22,75.5,11
2015.28,0,20,M,SP,30,100.76,7
1486.7,0,22,nan,RJ,20,74.34,3
1879.25,25,32,W,MA,29,68.96,8
1454.53,25,34,nan,SC,16,47.73,8
2858.75,25,28,W,SP,26,117.94,11
2524.71,25,22,W,GO,18,101.24,8
2035.73,0,37,W,SP,15,101.79,3
1769.13,0,23,M,PR,17,88.46,7
2811.62,25,37,W,SP,13,115.58,11
1717.69,25,26,W,MA,29,60.88,7
2355.8,25,43,W,MG,18,92.79,5
2178.83,0,29,W,SP,16,108.94,3
1878.63,0,46,M,RN,15,93.93,5
2316.29,0,33,M,SP,19,115.81,7
1042.55,0,34,M,RS,29,52.13,3
3043.92,25,40,W,GO,19,127.2,6
1593.22,0,32,M,PR,22,79.66,4
2070.56,0,24,M,SP,24,103.53,3
1871.29,0,26,M,RS,18,93.56,9
1184.36,25,28,W,AL,15,34.22,5
2217.86,25,33,W,BA,27,85.89,5
1792.5,0,46,W,MG,15,89.62,2
2017.1,0,30,M,SP,19,100.86,5
2123.75,25,32,nan,PR,19,81.19,6
1383.34,0,30,M,MT,18,69.17,3
2983.82,0,35,M,MG,24,149.19,2
2034.51,0,26,M,GO,15,101.73,9
1255.41,25,34,W,PA,25,37.77,5
2690.88,25,38,W,GO,17,109.54,6
2025.46,0,34,M,SP,21,101.27,4
1863.37,0,37,M,PR,25,93.17,5
966.43,0,29,M,MS,28,48.32,8
2100.29,0,22,M,SP,23,105.01,9
1493.12,0,28,M,MG,21,74.66,1
2183.35,0,39,W,SP,16,109.17,4
1450.78,0,27,M,AM,17,72.54,5
1134.51,0,26,O,RS,17,56.73,5
2269.04,25,33,W,PR,20,88.45,5
1936.15,25,41,W,PB,15,71.81,5
1678.3,0,33,O,AM,18,83.92,8
1352.95,0,28,M,AM,17,67.65,4
2458.87,0,35,M,MG,18,122.94,9
2727.28,25,41,W,SP,20,111.36,5
2065.26,25,43,W,RJ,17,78.26,5
2463.66,0,35,M,MG,16,123.18,7
2028.17,25,28,W,RJ,16,76.41,10
2362.94,0,25,M,GO,18,118.15,10
1750.12,25,36,W,DF,25,62.51,6
1887.46,0,29,M,MG,32,94.37,8
2877.9,25,47,W,SP,33,118.9,5
2027.48,0,32,M,PE,22,101.37,3
2186.65,25,28,W,MG,16,84.33,8
3024.24,25,26,W,SP,13,126.21,5
2534.18,25,31,nan,SP,17,101.71,7
1494.98,0,26,W,MG,22,74.75,1
1866.32,0,25,M,SP,23,93.32,1
570.25,0,26,M,SE,23,28.51,7
682.76,0,29,M,PA,23,34.14,2
1880.24,25,28,W,RN,22,69.01,6
1535.93,25,36,W,PA,17,51.8,9
2031.01,25,38,W,MA,24,76.55,7
1837.19,0,42,M,BA,13,91.86,9
1705.93,0,35,W,MT,17,85.3,4
1520.28,25,37,nan,MT,17,51.01,5
346.38,0,26,nan,PA,20,17.32,4
2432.43,25,28,W,ES,14,96.62,6
2313.08,25,29,W,SP,18,90.65,7
2392.59,25,33,W,BA,19,94.63,10
1581.19,25,32,W,RJ,22,54.06,5
1736.37,25,25,W,PB,22,61.82,7
425.59,0,23,M,PA,25,21.28,4
1931.72,0,27,O,MG,25,96.59,6
2535.51,25,27,W,SP,14,101.78,6
873.06,0,31,M,MS,23,43.65,8
1248.13,0,23,M,AP,18,62.41,8
2264.13,0,39,W,SP,19,113.21,4
2065.03,0,28,nan,SP,20,103.25,6
1264.58,25,36,W,MS,29,38.23,7
1833.15,0,29,W,PE,16,91.66,4
1641.58,0,27,nan,BA,18,82.08,7
1526.27,0,32,M,BA,20,76.31,6
1995.96,0,34,M,SP,16,99.8,3
1266.83,0,37,M,PA,17,63.34,2
1431.1,0,27,M,RN,20,71.55,5
2656.67,25,32,W,SP,17,107.83,6
1384.74,0,29,M,MA,19,69.24,5
1122.83,0,41,M,AL,25,56.14,3
2249.91,0,43,M,AM,23,112.5,9
782.87,0,29,W,RS,21,39.14,4
2018.91,0,21,O,SP,22,100.95,4
1911.09,0,30,O,PR,23,95.55,3
1966.65,25,23,W,MG,17,73.33,6
2291.85,25,29,W,PE,26,89.59,10
2528.12,25,30,W,SP,29,101.41,6
1881.83,25,28,W,RN,24,69.09,6
1841.63,25,28,W,MA,21,67.08,9
2759.72,25,25,W,SP,13,112.99,6
2142.66,0,30,M,CE,20,107.13,9
2120.52,25,34,W,DF,25,81.03,9
1575.34,0,45,M,RJ,18,78.77,6
1483.45,0,30,M,MA,20,74.17,3
1181.66,0,25,M,RS,23,59.08,6
1801.04,0,31,M,MG,23,90.05,7
658.0,0,29,W,MS,23,32.9,1
990.81,0,32,M,TO,23,49.54,10
1938.15,25,32,W,AM,27,71.91,7
1108.71,0,27,M,RJ,25,55.44,7
2581.69,25,44,W,AM,18,104.08,12
1123.63,0,26,M,SC,18,56.18,9
1650.08,0,31,M,MA,16,82.5,3
2100.03,25,36,W,BA,19,80.0,7
1380.77,0,35,O,RN,21,69.04,3
803.29,0,30,O,SC,15,40.16,2
2103.98,25,31,W,RS,11,80.2,10
1872.25,25,35,W,BA,21,68.61,7
2214.92,25,34,W,MG,13,85.75,5
1723.44,0,29,M,PR,25,86.17,2
855.74,0,32,O,MS,22,42.79,3
2464.52,25,22,W,SP,24,98.23,5
2613.41,25,43,nan,CE,30,105.67,8
1996.61,25,26,W,RJ,19,74.83,10
1023.18,0,35,M,SE,27,51.16,12
2170.2,0,34,O,SP,24,108.51,9
2319.02,0,34,M,GO,25,115.95,7
1005.55,25,31,W,AC,22,25.28,7
2288.87,0,29,nan,SP,27,114.44,9
1968.32,0,25,M,SP,25,98.42,7
2094.22,0,31,nan,SP,24,104.71,1
1101.44,25,34,W,PA,20,30.07,8
1116.3,0,31,M,SC,21,55.82,6
2288.6,0,30,O,GO,20,114.43,5
873.36,25,29,W,PA,23,18.67,7
1822.64,0,29,W,SP,24,91.13,2
1711.28,0,35,M,CE,31,85.56,2
2285.93,0,32,M,SP,18,114.3,5
1653.13,0,28,W,PR,17,82.66,3
808.47,0,37,W,PA,24,40.42,4
1558.37,0,27,M,MG,20,77.92,4
2368.4,25,27,W,SP,14,93.42,6
1886.75,0,30,nan,PE,18,94.34,3
2560.82,0,33,W,SP,18,128.04,3
2650.98,25,40,W,SP,28,107.55,5
2225.56,0,35,W,SP,15,111.28,3
2010.88,0,38,O,MG,20,100.54,7
1574.87,0,22,W,MG,18,78.74,4
2457.56,25,40,W,RJ,18,97.88,11
1675.01,0,39,M,PB,31,83.75,5
2542.65,0,41,M,SP,14,127.13,6
235.49,0,29,W,PA,13,11.77,3
1384.0,0,33,W,PR,21,69.2,3
1172.98,0,36,M,RJ,15,58.65,3
1044.4,25,32,nan,PA,18,27.22,8
363.93,0,26,M,SE,13,18.2,6
1855.49,0,38,M,BA,18,92.77,6
2774.32,25,39,nan,GO,24,113.72,5
2026.1,25,24,W,MG,19,76.31,6
2597.16,0,26,M,CE,17,129.86,15
820.16,0,24,W,MS,17,41.01,4
2865.76,25,32,W,SP,18,118.29,8
2216.2,0,26,M,PE,17,110.81,6
2299.92,0,64,M,AM,20,115.0,4
784.56,0,32,M,SE,24,39.23,5
1539.55,0,22,nan,RJ,20,76.98,8
1879.11,25,31,W,BA,10,68.96,6
2641.64,0,22,M,RN,19,132.08,8
1686.21,0,39,nan,MG,22,84.31,2
2370.9,0,50,O,CE,15,118.55,6
779.33,0,28,M,PI,23,38.97,5
1334.7,0,35,M,RR,26,66.74,10
1798.75,25,42,W,RS,20,64.94,6
1805.07,25,35,W,MA,22,65.25,6
2514.83,25,35,W,PE,19,100.74,5
2672.95,0,29,M,PE,18,133.65,8
639.61,0,28,W,RS,28,31.98,3
2961.96,50,31,W,MG,22,98.1,11
2011.32,0,27,M,SP,21,100.57,7
1409.86,25,23,nan,RJ,15,45.49,5
1622.61,0,43,M,AM,17,81.13,3
3006.9,25,35,W,PE,15,125.34,11
2063.0,0,36,M,SP,11,103.15,5
1575.09,25,27,W,RJ,17,53.75,6
1912.43,0,20,W,ES,21,95.62,4
2672.93,25,37,nan,PE,17,108.65,10
1609.94,25,30,W,SC,22,55.5,9
2312.4,25,28,W,BA,15,90.62,6
3143.1,25,38,W,SP,14,132.16,9
2885.49,25,30,W,DF,17,119.27,13
1924.25,0,24,M,PE,17,96.21,6
2061.4,0,36,nan,MG,13,103.07,8
1818.76,25,44,W,MA,18,65.94,6
1686.74,0,30,W,RN,19,84.34,2
2086.12,25,33,W,AM,21,79.31,7
883.31,0,30,M,SC,16,44.17,6
1783.19,0,25,nan,PE,15,89.16,3
1965.65,0,42,M,SP,18,98.28,4
2436.21,25,25,W,PE,16,96.81,10
1767.83,0,29,M,AM,17,88.39,6
1979.1,0,33,M,CE,22,98.96,6
2062.85,0,27,nan,SP,18,103.14,8
1611.45,25,22,W,PR,35,55.57,5
1771.1,25,24,W,PB,20,63.56,7
1847.49,0,34,W,MG,19,92.37,4
778.94,0,37,W,MS,17,38.95,4
2505.5,25,37,W,SP,17,100.28,8
1261.56,0,26,O,PB,18,63.08,4
3017.41,25,28,W,SP,23,125.87,5
1399.64,0,37,M,RN,14,69.98,2
2492.63,0,30,M,SP,33,124.63,7
2012.65,0,31,W,SP,17,100.63,3
2211.21,0,26,M,SP,20,110.56,6
745.83,0,33,W,RS,25,37.29,3
2402.5,0,38,M,SP,26,120.12,7
924.67,0,34,M,SC,9,46.23,6
1504.75,0,36,M,RJ,22,75.24,4
1221.47,0,34,M,RS,19,61.07,3
1641.91,25,45,W,RS,17,57.1,5
1199.19,0,33,M,AM,16,59.96,4
2094.1,0,27,M,PE,24,104.7,11
2327.17,0,33,M,SP,15,116.36,3
2010.71,0,37,nan,MA,18,100.54,3
2001.25,0,38,M,PR,17,100.06,7
2130.53,25,32,W,PB,21,81.53,6
844.0,25,27,W,PA,20,17.2,5
1994.37,0,27,M,CE,17,99.72,6
2465.84,25,35,W,PE,16,98.29,5
1446.56,25,22,W,PB,21,47.33,6
2715.37,25,34,W,RN,16,110.77,10
608.09,0,35,M,PI,19,30.4,5
1844.61,25,36,W,AM,17,67.23,6
1627.35,0,39,M,AM,19,81.37,3
1224.65,0,26,M,RS,20,61.23,8
1000.73,0,27,M,RS,16,50.04,4
2535.78,25,31,W,SP,17,101.79,9
1944.42,0,24,M,SP,17,97.22,5
1807.06,0,25,M,PR,23,90.35,6
1450.7,25,33,W,RJ,20,47.54,5
2066.88,0,25,M,PR,20,103.34,9
2568.35,25,27,W,GO,14,103.42,5
2107.01,25,24,W,MG,15,80.35,6
1420.66,0,30,M,BA,18,71.03,4
841.81,0,27,W,RS,16,42.09,4
2620.13,25,22,W,GO,13,106.01,10
1832.68,0,38,O,PR,20,91.63,4
2374.65,0,35,M,SP,15,118.73,3
1385.06,0,35,M,AM,23,69.25,5
2145.96,0,29,M,CE,21,107.3,8
2264.54,0,35,O,MG,36,113.23,10
2629.69,25,25,W,SP,19,106.48,6
2540.59,0,43,M,SP,18,127.03,9
930.18,0,33,W,DF,19,46.51,4
2694.42,25,24,nan,SP,17,109.72,9
649.35,0,36,M,SC,21,32.47,4
2884.95,25,40,W,PE,22,119.25,9
1960.18,0,26,W,SP,29,98.01,3
2090.04,0,26,nan,SP,17,104.5,8
544.15,0,31,W,PA,22,27.21,3
1242.23,0,33,M,RN,20,62.11,4
1631.63,0,35,M,RN,17,81.58,4
2095.11,25,33,W,MG,21,79.76,6
2221.78,25,28,W,ES,20,86.09,5
1584.66,0,33,W,PR,25,79.23,1
1306.29,0,24,M,MT,18,65.31,2
2332.82,25,30,W,MG,24,91.64,8
1814.83,0,24,M,SP,22,90.74,6
1828.99,0,27,M,PR,19,91.45,6
1501.62,0,24,M,RS,22,75.08,9
1878.52,0,24,O,MG,20,93.93,7
768.51,0,28,W,TO,22,38.43,4
2265.19,25,30,W,RN,23,88.26,8
2667.91,0,37,W,GO,19,133.4,3
2058.67,25,41,W,BA,16,77.93,5
2510.95,0,25,nan,SP,19,125.55,5
2270.62,25,22,W,SP,22,88.53,8
1912.8,25,41,W,RJ,12,70.64,7
448.32,0,34,M,AL,20,22.42,7
1627.0,0,34,nan,MA,15,81.35,3
2193.66,0,33,M,SP,22,109.68,5
2211.76,0,32,M,SP,10,110.59,5
1596.96,0,30,M,PR,18,79.85,5
3163.07,25,40,W,MG,19,133.15,9
1343.93,0,26,W,MT,16,67.2,3
2194.61,25,19,W,CE,18,84.73,7
1918.99,0,41,M,CE,10,95.95,4
2655.17,25,24,W,SP,23,107.76,10
2551.01,0,27,nan,SP,19,127.55,7
584.91,0,26,W,DF,13,29.25,4
2448.12,0,36,M,GO,17,122.41,5
1988.02,25,34,nan,RN,25,74.4,5
2758.6,25,31,W,SP,18,112.93,10
